Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
8/8/2017,Tuesday,,,,,1.8,1256.4,0,150
8/7/2017,Monday,,,,,0.1,1258.2,0,150
8/4/2017,Friday,1274.1,1274.2,1271,1271,9.5,1258.3,3,152
8/3/2017,Thursday,1267.3,1272,1267.3,1272,4,1267.8,1,153
8/2/2017,Wednesday,1273,1274,1273,1274,0.8,1271.8,3,155
8/1/2017,Tuesday,1274.9,1274.9,1270.5,1273.5,6,1272.6,5,156
7/31/2017,Monday,1270,1275.8,1266,1275.8,1.8,1266.6,90,266
7/28/2017,Friday,1258.9,1279.2,1256.9,1268.3,8.4,1268.4,603,611
7/27/2017,Thursday,1260.3,1264.9,1253.9,1258.6,10.6,1260,2207,926
7/26/2017,Wednesday,1249.6,1263.3,1243.1,1260.4,2.7,1249.4,2994,1355
7/25/2017,Tuesday,1255.1,1257.8,1248.8,1249.7,2.2,1252.1,2474,1477
7/24/2017,Monday,1254.8,1258.8,1252,1255.4,0.6,1254.3,2164,1761
7/21/2017,Friday,1244.5,1255.9,1243,1254.7,9.4,1254.9,2197,1901
7/20/2017,Thursday,1240.7,1247.3,1234.5,1244,3.5,1245.5,2750,1934
7/19/2017,Wednesday,1242.3,1243.5,1235.2,1240.8,0.1,1242,2062,1922
7/18/2017,Tuesday,1232.8,1244.1,1232.1,1241.9,8.2,1241.9,2749,2088
7/17/2017,Monday,1228.2,1235.5,1227.9,1233.3,6.2,1233.7,2186,2013
7/14/2017,Friday,1216.6,1232.6,1212.7,1228,10.2,1227.5,3311,2395
7/13/2017,Thursday,1219,1223.6,1215.9,1216.8,1.8,1217.3,2511,2192
7/12/2017,Wednesday,1217.4,1225.2,1212.7,1219.7,4.4,1219.1,3697,2219
7/11/2017,Tuesday,1213.9,1217.5,1207.5,1217,1.5,1214.7,3350,2275
7/10/2017,Monday,1212.7,1214.8,1204.2,1213.7,3.5,1213.2,3424,2476
7/7/2017,Friday,1224.4,1228,1206.6,1212.2,13.6,1209.7,4799,2236
7/6/2017,Thursday,1226.6,1229,1222,1224.6,1.6,1223.3,2508,2249
7/5/2017,Wednesday,1220.2,1228.4,1216.5,1226.3,2.5,1221.7,5819,2258
